[05-11-2023 22:12:12.831 INFO com.vmo.automationexercise.helper.Log] - Open browser
[05-11-2023 22:12:16.281 INFO com.vmo.automationexercise.helper.Log] - Open Homepage successful
[05-11-2023 22:12:16.310 INFO com.vmo.automationexercise.helper.Log] - Open Automation exercise shop
[05-11-2023 22:12:16.453 INFO com.vmo.automationexercise.helper.Log] - Verify that home page is visible successfully
[05-11-2023 22:12:18.463 INFO com.vmo.automationexercise.helper.Log] - Click on 'Products' button
[05-11-2023 22:12:18.474 INFO com.vmo.automationexercise.helper.Log] - Verify user is navigated to ALL PRODUCTS page successfully
[05-11-2023 22:12:18.563 INFO com.vmo.automationexercise.helper.Log] - The products list is visible
[05-11-2023 22:12:19.819 INFO com.vmo.automationexercise.helper.Log] - Click on 'View Product' of first product
[05-11-2023 22:12:19.830 INFO com.vmo.automationexercise.helper.Log] - User is landed to product detail page
[05-11-2023 22:12:19.929 INFO com.vmo.automationexercise.helper.Log] - Verify that detail detail is visible: product name
[05-11-2023 22:12:20.033 INFO com.vmo.automationexercise.helper.Log] - Verify that detail detail is visible: category
[05-11-2023 22:12:20.116 INFO com.vmo.automationexercise.helper.Log] - Verify that detail detail is visible: price
[05-11-2023 22:12:20.205 INFO com.vmo.automationexercise.helper.Log] - Verify that detail detail is visible: availability
[05-11-2023 22:12:20.318 INFO com.vmo.automationexercise.helper.Log] - Verify that detail detail is visible: condition
[05-11-2023 22:12:20.416 INFO com.vmo.automationexercise.helper.Log] - Verify that detail detail is visible: brand
[05-11-2023 22:12:20.533 WARN org.asynchttpclient.netty.handler.WebSocketHandler] - onError
java.net.SocketException: Connection reset
	at sun.nio.ch.SocketChannelImpl.throwConnectionReset(SocketChannelImpl.java:401) ~[?:?]
	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:434) ~[?:?]
	at io.netty.buffer.PooledByteBuf.setBytes(PooledByteBuf.java:256) ~[netty-buffer-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.buffer.AbstractByteBuf.writeBytes(AbstractByteBuf.java:1132) ~[netty-buffer-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.channel.socket.nio.NioSocketChannel.doReadBytes(NioSocketChannel.java:357) ~[netty-transport-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:151) ~[netty-transport-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:788) ~[netty-transport-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:724) ~[netty-transport-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:650) ~[netty-transport-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:562) ~[netty-transport-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:997) ~[netty-common-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74) ~[netty-common-4.1.92.Final.jar:4.1.92.Final]
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30) ~[netty-common-4.1.92.Final.jar:4.1.92.Final]
	at java.lang.Thread.run(Thread.java:1623) [?:?]
